scoreboard	1
Carnegie Mellon	5	1	4	49	13	0	0	1	12	1	12	0	0	0	0	1	12	0	0	1	13	0	0
BYU	1	2	3	22	8	0	0	1	8	0	0	0	0	0	0	1	8	1	6	0	0	0	0
MIT	13	3	3	86	29	0	0	1	29	1	29	0	0	1	28	0	0	0	0	0	0	0	0
BYU	2	4	2	4	2	0	0	1	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0
Harvard	10	5	2	55	28	0	0	0	0	0	0	1	27	0	0	1	28	0	0	0	0	0	0
Carnegie Mellon	4	6	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
Yale	18	7	1	3	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	3	0	0
Georgia Tech	9	8	1	5	5	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0
Northwestern	21	9	1	16	16	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0
BYU	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carnegie Mellon	6	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia Tech	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harvard	12	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Harvard	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIT	14	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIT	15	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Northwestern	20	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Northwestern	19	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia Tech	7	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yale	16	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yale	17	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
